191	Sp	497	49.81	-114.86	1220	3.2	15.1	-9.2	24.3	618	230	21.4	65.8	1028	1171	150	157	251	94	283	-40.7	34	590	287	Sp_497
199	Sp	505	50.26	-118.13	1100	3.8	15.6	-8	23.6	986	395	14	39.5	901	1261	159	152	255	103	405	-38.3	35.9	605	137	Sp_505
176	Sp	482	55.15	-122.91	780	2	14.3	-12.1	26.4	877	302	13.7	47.4	1312	1066	152	159	256	97	456	-42	32.3	500	161	Sp_482
22	Sp	327	54.33	-110.85	579	1.4	16.4	-16.8	33.2	425	296	26.8	55.4	1785	1342	157	142	253	111	102	-45.6	34.3	544	212	Sp_327
81	Sp	387	51.75	-114.63	1066	2.8	14.8	-10.8	25.6	494	375	25.9	39.5	1170	1184	142	157	246	89	76	-45.4	34	589	162	Sp_387
2	Sp	304	59.88	-111.71	813	-0.1	12.2	-12.5	24.7	353	211	28	57.9	1622	749	148	156	264	108	133	-45.4	26.1	288	78	Sp_304
65	Sp	370	49.86	-113.95	1525	2.5	14.6	-10.1	24.7	639	317	19.6	46	1143	1076	143	166	253	88	251	-42.4	32.9	560	160	Sp_370
74	Sp	380	50.92	-114.91	2045	-0.5	11	-12.3	23.3	734	371	12.9	29.6	1575	603	113	181	237	56	370	-45.3	29.5	408	47	Sp_380
142	Sp	448	50.83	-119.13	1500	3.4	14.6	-7.9	22.5	1042	460	12.9	31.7	922	1123	156	156	255	99	395	-37.6	33.7	558	47	Sp_448
7	Sp	310	54.63	-118.95	914	2.5	14.6	-10.9	25.5	622	395	20.1	36.9	1244	1154	157	146	256	110	174	-43.2	31.7	506	69	Sp_310
111	Sp	417	49.41	-115.05	991	3.7	15.6	-8.6	24.2	879	309	15.6	50.5	942	1259	157	153	253	101	395	-39.9	34.5	607	207	Sp_417
50	Sp	355	54.1	-119.1	1475	1.4	12.4	-9.4	21.8	645	397	17.7	31.2	1242	821	137	162	251	89	211	-43.2	29.4	453	28	Sp_355
156	Sp	462	54.56	-127.15	1200	0.9	12	-10.8	22.8	793	247	13.7	48.6	1299	734	128	171	240	69	463	-41.3	30.4	455	166	Sp_462
18	Sp	323	56.05	-118.08	609	1.1	15.8	-17.1	32.9	440	276	25.2	57.3	1815	1274	154	143	251	108	133	-45.5	34	531	214	Sp_323
57	Sp	362	55.22	-112.62	520	0.7	16.2	-18.4	34.6	460	319	23.3	50.7	1945	1276	149	149	248	99	115	-46.3	34.3	549	191	Sp_362
33	Sp	338	49.65	-110.01	1248	2.9	16.2	-10.2	26.4	418	249	30.9	65.2	1214	1286	149	150	246	97	130	-42.7	36	620	322	Sp_338
78	Sp	384	56.2	-119.49	914	0.5	14	-14.6	28.6	431	263	24.4	53.2	1721	1005	145	151	249	98	146	-47	31.3	467	166	Sp_384
